student_id,gender,age,department,course,historical_grade,previous_grade,assignment_score,quiz_score,midterm_score,attendance_percentage,lms_login_count,lms_activity_count,study_hours,performance_status
S0001,Male,20,Engineering,MATH101,66.5,64.8,76.9,32.0,44.3,91.5,32,96,13.4,PASS
S0002,Female,25,Computer Science,CS201,82.3,84.4,78.6,93.6,24.0,100.0,47,93,17.9,PASS
S0003,Female,24,Mathematics,BUS101,71.7,73.4,71.3,35.4,30.7,76.8,48,86,18.5,PASS
S0004,Female,20,Computer Science,CS201,55.4,59.4,69.8,58.1,49.3,70.3,30,96,14.3,PASS
S0005,Male,23,Physics,ENG101,86.3,86.3,83.7,77.6,59.2,94.5,52,98,17.6,PASS
S0006,Male,21,Mathematics,PHY101,69.5,66.0,65.2,54.9,57.6,96.5,48,73,19.3,PASS
S0007,Male,28,Engineering,ENG101,62.5,63.6,67.0,50.7,25.1,89.8,42,97,11.2,PASS
S0008,Female,22,Business,ENG101,95.9,98.0,67.0,69.1,57.6,100.0,59,118,14.8,PASS
S0009,Female,28,Business,CS101,79.7,77.9,77.9,71.9,47.1,95.6,37,96,11.0,PASS
S0010,Female,22,Mathematics,ENG101,95.6,96.1,74.7,73.8,70.4,96.9,38,95,23.7,PASS
S0011,Male,24,Engineering,CS201,70.0,63.3,68.9,53.1,34.5,93.7,28,111,13.0,PASS
S0012,Female,28,Mathematics,PHY101,57.2,50.9,60.2,54.2,28.3,81.8,38,102,12.6,PASS
S0013,Female,22,Engineering,MATH101,49.3,41.0,51.2,56.6,35.8,76.2,38,81,12.8,FAIL
S0014,Male,28,Physics,ENG101,66.6,68.1,54.5,61.5,49.4,85.9,45,63,12.7,PASS
S0015,Male,20,Engineering,CS201,59.6,63.3,67.1,54.6,30.3,83.4,37,69,17.5,FAIL
S0016,Male,27,Engineering,CS101,82.2,75.1,55.3,63.8,52.2,78.2,47,126,20.8,PASS
S0017,Male,22,Mathematics,CS101,43.4,44.2,72.9,57.5,37.4,78.5,36,62,13.4,PASS
S0018,Female,24,Mathematics,MATH101,64.7,67.0,55.6,43.0,42.7,81.3,43,100,14.5,PASS
S0019,Male,22,Business,MATH101,93.8,91.8,72.4,63.0,51.0,93.4,52,81,17.3,PASS
S0020,Male,22,Computer Science,CS201,29.3,37.3,3.5,14.6,21.3,69.4,36,54,6.1,FAIL
S0021,Female,26,Engineering,MATH101,86.2,78.9,69.1,67.7,59.5,90.2,36,85,18.6,PASS
S0022,Male,20,Physics,MATH101,48.0,46.1,51.8,60.2,29.8,77.8,29,82,10.5,PASS
S0023,Male,23,Mathematics,CS101,45.7,31.1,58.4,52.8,33.8,62.8,38,77,13.5,FAIL
S0024,Male,18,Mathematics,CS201,88.5,90.2,67.6,77.4,64.6,79.7,33,135,15.3,PASS
S0025,Male,27,Computer Science,PHY101,80.8,77.1,53.6,54.5,53.5,69.7,43,65,12.8,PASS
S0026,Female,22,Engineering,MATH101,100.0,90.1,100.0,89.7,70.4,100.0,58,73,22.8,PASS
S0027,Male,25,Business,CS201,70.9,73.9,57.0,67.9,40.6,81.2,53,76,15.1,PASS
S0028,Male,22,Mathematics,ENG101,56.0,55.2,56.2,57.5,27.9,80.2,42,83,15.3,PASS
S0029,Female,26,Computer Science,CS101,82.3,80.7,67.8,36.9,66.4,84.6,48,97,20.2,PASS
S0030,Male,28,Mathematics,PHY101,85.9,91.6,73.2,76.4,24.7,75.8,53,92,16.5,PASS
S0031,Female,23,Engineering,CS101,76.6,72.7,68.5,72.8,51.1,81.3,46,73,11.0,PASS
S0032,Male,25,Computer Science,CS101,61.1,64.3,57.0,65.1,33.0,78.4,43,78,20.0,PASS
S0033,Male,27,Engineering,BUS101,39.6,43.5,39.0,41.6,32.0,54.3,47,55,16.2,FAIL
S0034,Female,25,Computer Science,CS201,66.9,64.1,71.1,77.8,26.0,85.2,41,83,16.1,PASS
S0035,Female,20,Engineering,ENG101,99.0,99.0,81.0,87.9,63.8,93.2,48,113,19.1,PASS
S0036,Female,24,Computer Science,MATH101,56.7,65.1,43.3,69.5,41.1,73.6,48,45,11.7,PASS
S0037,Male,24,Computer Science,ENG101,59.9,54.8,59.2,61.3,40.7,92.6,37,97,15.3,PASS
S0038,Male,27,Mathematics,CS201,91.0,93.7,66.3,69.9,44.1,91.2,51,67,20.6,PASS
S0039,Female,29,Computer Science,CS101,75.9,76.2,61.6,73.3,38.4,91.8,49,71,16.2,PASS
S0040,Male,23,Computer Science,BUS101,52.7,59.0,63.8,39.4,40.0,79.7,27,115,10.5,PASS
S0041,Male,29,Engineering,CS201,72.6,72.5,61.9,68.9,42.3,85.9,42,78,18.9,PASS
S0042,Male,24,Engineering,PHY101,81.0,84.4,69.1,68.6,24.7,62.7,40,105,15.2,PASS
S0043,Male,19,Mathematics,PHY101,71.5,63.5,64.3,53.2,37.2,76.2,38,107,18.7,PASS
S0044,Female,26,Engineering,CS201,69.9,59.2,82.8,58.5,56.2,80.0,48,100,14.6,PASS
S0045,Male,27,Mathematics,MATH101,91.5,86.3,80.8,86.9,53.2,76.5,38,71,23.7,PASS
S0046,Female,27,Business,ENG101,60.7,58.5,49.0,74.9,20.6,75.7,36,76,10.9,PASS
S0047,Male,18,Computer Science,ENG101,68.3,66.5,47.6,73.5,36.7,89.7,43,69,20.3,PASS
S0048,Female,18,Computer Science,MATH101,86.3,91.7,68.7,77.4,51.6,86.0,45,98,17.7,PASS
S0049,Female,20,Engineering,BUS101,49.7,47.8,38.6,55.8,20.9,61.8,38,65,12.7,FAIL
S0050,Male,20,Engineering,CS101,62.3,62.4,61.1,68.5,53.6,83.5,43,99,12.3,PASS
S0051,Female,18,Business,CS101,65.9,66.6,75.8,63.9,35.9,60.5,45,92,12.6,PASS
S0052,Female,29,Business,PHY101,61.6,58.4,75.0,49.2,34.3,84.4,47,72,11.1,PASS
S0053,Female,24,Engineering,BUS101,82.7,82.6,79.8,54.2,47.8,79.6,60,90,14.9,PASS
S0054,Female,21,Computer Science,MATH101,46.9,52.2,30.7,76.3,6.5,93.1,41,79,13.4,FAIL
S0055,Female,27,Computer Science,CS201,64.1,65.6,59.9,51.5,43.0,64.7,39,80,19.6,PASS
S0056,Female,19,Business,ENG101,81.9,84.8,89.1,69.2,42.0,84.2,48,77,20.1,PASS
S0057,Male,27,Engineering,CS201,87.6,89.3,80.0,60.2,23.3,75.2,44,89,18.0,PASS
S0058,Male,22,Engineering,ENG101,62.9,71.1,72.0,43.6,19.7,75.1,48,73,13.7,PASS
S0059,Male,23,Computer Science,CS201,49.6,44.4,39.4,36.1,29.2,96.6,37,45,18.1,FAIL
S0060,Male,26,Business,MATH101,66.7,79.2,55.8,55.3,54.8,76.1,53,96,15.9,PASS
S0061,Male,21,Mathematics,MATH101,66.8,71.8,68.9,72.3,48.7,68.1,37,73,13.6,PASS
S0062,Male,19,Computer Science,BUS101,62.4,68.3,54.9,58.4,44.1,85.0,37,72,16.7,PASS
S0063,Female,22,Engineering,CS201,84.5,91.0,93.3,83.8,51.9,81.8,44,103,18.5,PASS
S0064,Male,20,Physics,CS201,62.3,67.5,63.3,58.3,42.0,75.1,35,85,16.3,PASS
S0065,Male,19,Engineering,BUS101,62.7,56.3,55.2,61.7,38.8,75.4,43,76,19.4,PASS
S0066,Female,29,Business,BUS101,97.6,92.0,100.0,77.5,49.7,85.9,51,101,16.5,PASS
S0067,Male,18,Computer Science,MATH101,100.0,100.0,72.4,78.1,51.6,100.0,53,92,16.6,PASS
S0068,Female,27,Business,MATH101,63.8,66.7,69.2,48.0,38.5,63.5,23,66,16.5,PASS
S0069,Male,19,Computer Science,PHY101,92.0,96.4,82.0,83.9,46.0,88.3,40,91,20.3,PASS
S0070,Female,23,Physics,CS201,67.0,67.2,53.5,42.7,20.0,82.7,39,78,12.0,FAIL
S0071,Female,25,Business,MATH101,79.6,73.0,76.8,81.2,54.9,85.4,45,78,22.0,PASS
S0072,Male,20,Mathematics,MATH101,92.4,91.9,78.2,82.1,60.7,76.5,60,75,20.3,PASS
S0073,Male,28,Business,CS201,42.2,45.9,51.4,66.1,4.8,62.4,25,71,9.3,FAIL
S0074,Female,26,Business,BUS101,50.3,49.0,58.5,46.7,15.4,71.9,26,38,12.0,FAIL
S0075,Female,29,Engineering,CS201,71.4,71.4,63.6,52.1,46.9,71.4,33,86,9.8,PASS
S0076,Female,26,Mathematics,CS101,69.0,69.2,67.0,59.6,27.7,83.8,42,78,16.3,PASS
S0077,Female,19,Physics,CS201,84.3,81.6,87.3,54.4,50.9,97.1,51,90,14.0,PASS
S0078,Male,25,Engineering,CS101,56.9,52.8,55.1,82.8,44.2,77.7,33,80,12.5,PASS
S0079,Male,27,Physics,CS201,43.3,53.9,37.9,34.6,20.4,69.9,34,81,11.3,FAIL
S0080,Male,28,Business,CS101,61.7,69.5,52.6,36.6,44.9,57.1,29,71,20.0,FAIL
S0081,Female,29,Engineering,CS101,58.9,64.2,46.3,68.6,29.3,80.6,27,72,18.0,PASS
S0082,Female,22,Engineering,CS201,80.7,82.8,78.4,74.8,44.5,76.3,41,92,10.6,PASS
S0083,Male,21,Computer Science,PHY101,44.4,39.4,61.4,43.8,31.6,70.0,40,57,9.1,FAIL
S0084,Male,27,Computer Science,MATH101,49.1,53.5,48.8,28.6,37.5,67.3,29,61,13.4,FAIL
S0085,Male,22,Computer Science,ENG101,52.6,58.2,52.3,69.2,16.5,73.6,34,80,12.9,PASS
S0086,Male,21,Engineering,MATH101,66.1,64.4,75.6,86.8,23.8,81.9,32,78,18.6,PASS
S0087,Female,25,Engineering,CS101,86.1,80.8,87.4,78.6,33.4,89.9,37,77,14.9,PASS
S0088,Female,21,Engineering,CS201,80.2,82.3,100.0,67.8,68.2,94.6,48,67,16.5,PASS
S0089,Female,27,Physics,CS201,89.8,95.1,75.3,82.4,48.6,84.9,42,93,16.0,PASS
S0090,Male,29,Engineering,CS201,77.4,74.2,81.8,56.4,38.1,81.0,32,96,17.1,PASS
S0091,Male,23,Engineering,CS201,76.6,79.2,57.4,73.6,49.4,95.3,31,99,15.3,PASS
S0092,Female,19,Computer Science,PHY101,56.2,51.6,49.6,47.6,13.8,85.6,45,57,15.7,PASS
S0093,Female,22,Computer Science,ENG101,73.3,67.6,68.9,68.7,39.5,94.9,29,92,14.4,PASS
S0094,Female,23,Mathematics,BUS101,53.8,54.8,55.7,54.4,32.3,85.5,45,61,11.0,FAIL
S0095,Female,22,Business,CS101,52.8,48.8,65.8,50.1,20.0,100.0,41,102,20.3,PASS
S0096,Male,29,Mathematics,ENG101,61.4,63.6,38.2,39.7,23.0,85.9,35,76,18.3,FAIL
S0097,Female,19,Computer Science,MATH101,72.4,64.4,32.5,43.4,38.9,71.1,48,68,19.2,PASS
S0098,Male,24,Business,BUS101,65.6,61.4,78.3,60.9,33.5,87.1,38,87,13.0,PASS
S0099,Male,21,Computer Science,BUS101,100.0,100.0,82.5,81.4,53.8,93.7,53,99,16.9,PASS
S0100,Male,25,Computer Science,CS201,74.7,78.2,77.6,63.8,26.9,78.7,27,98,10.1,PASS
S0101,Male,24,Computer Science,ENG101,63.1,65.2,81.3,64.3,19.8,74.2,40,85,15.4,PASS
S0102,Female,24,Computer Science,MATH101,70.2,68.0,69.7,58.2,57.2,79.3,38,110,17.5,PASS
S0103,Male,26,Engineering,CS201,100.0,100.0,100.0,89.2,44.3,68.6,46,94,17.4,PASS
S0104,Male,18,Computer Science,CS201,55.3,54.2,61.4,58.5,30.7,51.1,44,91,14.6,PASS
S0105,Female,27,Physics,PHY101,69.7,81.4,54.1,54.3,39.9,81.7,58,75,10.1,PASS
S0106,Male,23,Engineering,CS101,73.8,75.4,57.8,67.1,38.5,77.2,53,90,25.2,PASS
S0107,Male,23,Computer Science,BUS101,78.0,74.2,64.0,70.9,44.9,77.9,53,82,13.7,PASS
S0108,Female,23,Computer Science,MATH101,41.4,41.0,44.3,47.6,20.5,68.9,26,87,8.4,FAIL
S0109,Male,29,Business,BUS101,75.2,66.8,55.9,63.1,40.1,67.2,48,102,13.9,PASS
S0110,Male,23,Computer Science,ENG101,89.8,80.3,73.7,78.1,66.5,94.3,44,103,21.5,PASS
S0111,Male,29,Mathematics,CS101,71.8,79.1,51.7,70.2,31.6,78.5,38,91,18.1,PASS
S0112,Male,27,Physics,CS201,73.0,74.3,85.5,77.8,36.2,82.3,59,97,16.5,PASS
S0113,Female,24,Computer Science,CS101,100.0,97.7,90.5,62.9,71.0,99.4,34,114,27.4,PASS
S0114,Female,27,Engineering,CS201,66.9,66.7,63.3,94.4,33.0,76.6,44,85,16.0,PASS
S0115,Female,23,Computer Science,CS101,64.5,64.0,71.5,76.6,33.3,88.2,43,90,15.8,PASS
S0116,Female,18,Business,CS201,33.4,33.8,34.3,42.9,12.8,73.7,37,90,11.9,FAIL
S0117,Female,20,Engineering,BUS101,100.0,100.0,77.0,77.0,72.6,98.8,57,97,18.5,PASS
S0118,Male,19,Computer Science,BUS101,68.3,71.0,55.4,42.7,51.7,90.2,45,88,10.3,PASS
S0119,Female,23,Computer Science,BUS101,57.9,55.8,41.5,59.9,20.5,82.5,41,73,12.8,FAIL
S0120,Female,25,Business,BUS101,75.5,66.7,48.5,71.4,62.2,81.7,36,108,11.1,PASS
S0121,Female,20,Engineering,CS101,77.1,72.1,64.4,46.2,20.3,88.1,44,85,19.4,PASS
S0122,Female,27,Computer Science,CS201,83.7,87.5,75.9,81.0,30.1,74.7,52,100,18.5,PASS
S0123,Male,25,Business,BUS101,68.4,76.2,74.9,77.6,22.0,84.3,35,116,12.6,PASS
S0124,Male,25,Business,CS101,76.5,72.1,56.5,84.1,32.7,90.9,46,103,15.3,PASS
S0125,Male,22,Mathematics,CS201,63.5,58.4,71.0,63.7,32.9,69.5,46,78,16.0,PASS
S0126,Male,25,Computer Science,CS101,91.0,88.9,54.8,64.0,41.8,100.0,45,108,20.5,PASS
